Заголовок новости,Ссылка,Рубрика,Дата публикации,Количество просмотров,Частота публикаций,Метка рубрики
"В Турции задержали человека, который мог подорвать улицу в Стамбуле",https://ufa1.ru/text/incidents/2022/11/14/71813354/,Происшествия,2022-11-14 06:33:54,1520,83634,25
"Арест замминистра в Башкирии, поиски вора в законе и тяжбы с Минздравом: итоги недели",https://ufa1.ru/text/gorod/2022/11/14/71813117/,Город,2022-11-14 05:00:00,3057,80766,12
Возможная приостановка боевых действий и демобилизация студентов ДНР и ЛНР: новости СВО за 13 ноября,https://ufa1.ru/text/world/2022/11/13/71813237/,Страна и мир,2022-11-13 22:55:59,2759,64559,18
"Товаров больше, а душа ушла: какими были торговые центры Уфы при СССР",https://ufa1.ru/text/gorod/2022/11/13/71808944/,Город,2022-11-13 21:00:00,5611,79441,12
"Запертые в квартире врачи, похищенный бизнесмен: рассказываем, как и за что жителей Башкирии насильно лишали свободы",https://ufa1.ru/text/criminal/2022/11/13/71806043/,Криминал,2022-11-13 20:00:00,3252,82800,17
В центре Стамбула прогремел взрыв. Есть погибшие и раненые,https://ufa1.ru/text/incidents/2022/11/13/71813090/,Происшествия,2022-11-13 19:03:00,2839,82980,25
В Башкирии после ДТП один человек погиб и пять попали в больницу. В числе пострадавших — трехлетний ребенок,https://ufa1.ru/text/incidents/2022/11/13/71813039/,Происшествия,2022-11-13 18:30:00,5658,84420,25
На трассе в Башкирии фуры встали в пробку. Узнали причину,https://ufa1.ru/text/incidents/2022/11/13/71812958/,Дороги и транспорт  Происшествия,2022-11-13 17:25:00,5477,82500,19
«Все готовы платить за информацию»: с какими просьбами люди обращаются к нумерологам и как это работает,https://ufa1.ru/text/entertainment/2022/11/13/71812769/,Развлечения,2022-11-13 17:00:00,1280,84900,24
"«Клуб любителей кошек»: как эти домашние питомцы меняют привычки, характер и психику человека",https://ufa1.ru/text/health/2022/11/13/71809730/,Здоровье,2022-11-13 17:00:00,2157,0,23
В Уфе 2-летний ребенок выпал из окна с третьего этажа,https://ufa1.ru/text/incidents/2022/11/13/71812889/,Происшествия,2022-11-13 16:25:00,2936,84300,25
«Мало таких спектаклей в истории»: режиссер Башдрамтеатра — о снятии постановки по роману Яхиной,https://ufa1.ru/text/culture/2022/11/13/71812853/,Культура,2022-11-13 15:26:00,4595,82860,6
"«Депардье — забавный такой дедушка»: история банщика из Сибири, который парил француза, Данилу Козловского и Little Big",https://ufa1.ru/text/job/2022/11/13/71809556/,Работа,2022-11-13 15:00:00,1280,84840,20
Прочь с моего метра: почему опасно жить в маленьких квартирах — объясняют врачи и рассказывают хозяева «малышек»,https://ufa1.ru/text/house/2022/11/13/71810738/,Мой дом,2022-11-13 14:00:00,5116,82800,14
В уфимском торговом центре произошла давка из-за розыгрыша автомобиля,https://ufa1.ru/text/gorod/2022/11/13/71812601/,Город,2022-11-13 13:55:00,22848,86100,12
"«Сначала он просто клянчил деньги, а потом начал бить»: исповедь матери наркомана, который в 18 лет подсел на мефедрон",https://ufa1.ru/text/family/2022/11/13/71809910/,Семья,2022-11-13 13:00:00,2374,83100,26
Детских медиков из Уфы отправили в Луганск,https://ufa1.ru/text/health/2022/11/13/71812508/,Здоровье,2022-11-13 12:45:00,5040,85500,23
Путин предложил лишать приобретенного гражданства за дискредитацию ВС РФ,https://ufa1.ru/text/world/2022/11/13/71812412/,Страна и мир,2022-11-13 11:00:00,1926,80100,18
"«Стать миллиардерами? Почему бы и нет». Школьники создали робота, который научит детей программированию",https://ufa1.ru/text/science/2022/11/13/71809994/,Наука,2022-11-13 11:00:00,1451,0,10
Следком Башкирии проверит застройщика «Дома смерти» в Уфе из-за гибели школьницы,https://ufa1.ru/text/gorod/2022/11/13/71812373/,Город  Происшествия,2022-11-13 10:20:00,2716,84000,12
